metric,algorithm,value,Constraints,percentage,version,pct,diff,dataset
Accuracy,LR,0.6310123042505593,No constraints,0.1,0,0.0,0.0,Diabetes
Accuracy,RF,0.6374440715883669,No constraints,0.1,0,1.0089932002632085,0.006431767337807592,Diabetes
Accuracy,SREW,0.6312919463087249,True protected attributes,0.1,0,0.044296788482833804,0.0002796420581655523,Diabetes
Accuracy,ADDEB,0.6332494407158836,True protected attributes,0.1,0,0.35327886950760057,0.0022371364653243075,Diabetes
Accuracy,LFR,0.60332774049217,True protected attributes,0.1,0,-4.5886442641946745,-0.027684563758389347,Diabetes
Accuracy,CALEQ,0.6266778523489933,True protected attributes,0.1,0,-0.6916555109326206,-0.0043344519015660055,Diabetes
Accuracy,ROC,0.6205956375838926,True protected attributes,0.1,0,-1.678494987045176,-0.01041666666666674,Diabetes
Accuracy,EGR,0.6312919463087249,True protected attributes,0.1,0,0.044296788482833804,0.0002796420581655523,Diabetes
Accuracy,GSR,0.6305229306487695,True protected attributes,0.1,0,-0.07761392615590612,-0.0004893736017897998,Diabetes
Accuracy,SOFT,0.4324664429530201,Noisy protected attributes,0.1,0,-45.91011962495961,-0.1985458612975392,Diabetes
Accuracy,PRIV,0.6295441834451901,Noisy protected attributes,0.1,0,-0.2332037756801908,-0.0014681208053691774,Diabetes
Accuracy,MDRO,0.5748741610738255,Noisy protected attributes,0.1,0,-9.765292472333709,-0.056138143176733823,Diabetes
Accuracy,ARL,0.6380732662192393,No protected attributes,0.1,0,1.1066067711186456,0.007060961968680002,Diabetes
Accuracy,DRO,0.631851230425056,No protected attributes,0.1,0,0.13277273733126593,0.000838926174496657,Diabetes
Equal Odds Difference,LR,0.032822568341209155,No constraints,0.1,0,0.0,0.0,Diabetes
Equal Odds Difference,RF,0.04102912963812766,No constraints,0.1,0,20.00179231024265,0.008206561296918505,Diabetes
Equal Odds Difference,SREW,0.0011108645237952325,True protected attributes,0.1,0,-2854.686880185166,-0.03171170381741392,Diabetes
Equal Odds Difference,ADDEB,0.02164726658425062,True protected attributes,0.1,0,-51.62453981644537,-0.011175301756958536,Diabetes
Equal Odds Difference,LFR,0.0,True protected attributes,0.1,0,-inf,-0.032822568341209155,Diabetes
Equal Odds Difference,CALEQ,0.07355209236147164,True protected attributes,0.1,0,55.375071887958406,0.04072952402026249,Diabetes
Equal Odds Difference,ROC,0.054033678133025176,True protected attributes,0.1,0,39.255350597448725,0.02121110979181602,Diabetes
Equal Odds Difference,EGR,0.005703779315713059,True protected attributes,0.1,0,-475.45298519505985,-0.027118789025496096,Diabetes
Equal Odds Difference,GSR,0.005782465027631897,True protected attributes,0.1,0,-467.6224271891712,-0.027040103313577257,Diabetes
